"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ACC","EQ","02-Jun-2021","       1973.45","       1975.25","       2007.30","       1970.90","       1996.00","       1997.10","       1993.71","     447284","           891754763.80","      19905","     109383","         24.45"
"ACC","EQ","03-Jun-2021","       1997.10","       1999.15","       2030.00","       1999.15","       2024.00","       2027.35","       2019.38","     571072","          1153211570.90","      24694","     197183","         34.53"
"ACC","EQ","04-Jun-2021","       2027.35","       2024.00","       2037.10","       2005.00","       2010.00","       2009.90","       2018.72","     219638","           443388609.75","      10971","      38175","         17.38"
"ACC","EQ","07-Jun-2021","       2009.90","       2015.50","       2058.90","       2011.00","       2045.15","       2045.95","       2043.19","     494925","          1011228003.75","      25735","     152668","         30.85"
"ACC","EQ","08-Jun-2021","       2045.95","       2050.00","       2062.60","       2026.30","       2043.90","       2042.65","       2043.16","     314233","           642029095.80","      15236","      72555","         23.09"
"ACC","EQ","09-Jun-2021","       2042.65","       2045.00","       2045.40","       1990.70","       2004.00","       2004.40","       2021.59","     470131","           950411273.10","      22240","     174409","         37.10"
"ACC","EQ","10-Jun-2021","       2004.40","       2015.00","       2037.00","       2004.40","       2029.00","       2030.30","       2027.85","     364626","           739407067.70","      15925","      71356","         19.57"
"ACC","EQ","11-Jun-2021","       2030.30","       2030.30","       2043.70","       2013.15","       2026.70","       2024.50","       2027.14","     173453","           351612848.45","       8857","      37172","         21.43"
"ACC","EQ","14-Jun-2021","       2024.50","       2022.00","       2043.50","       1990.05","       2038.00","       2040.55","       2028.43","     262106","           531662598.10","      14361","      49377","         18.84"
"ACC","EQ","15-Jun-2021","       2040.55","       2042.00","       2066.00","       2031.05","       2038.05","       2042.95","       2050.62","     303143","           621629910.90","      20183","      60513","         19.96"
"ACC","EQ","16-Jun-2021","       2042.95","       2042.00","       2053.00","       2013.40","       2020.00","       2020.50","       2030.19","     152299","           309195475.40","       8031","      26130","         17.16"
"ACC","EQ","17-Jun-2021","       2020.50","       2005.00","       2062.95","       2005.00","       2041.00","       2042.20","       2042.31","     412228","           841896549.30","      19255","      59095","         14.34"
"ACC","EQ","18-Jun-2021","       2042.20","       2043.25","       2063.00","       1996.20","       2025.95","       2027.90","       2029.23","     502755","          1020206048.30","      21448","     202797","         40.34"
"ACC","EQ","21-Jun-2021","       2027.90","       2009.50","       2041.90","       1988.90","       2025.60","       2028.10","       2021.00","     478588","           967227454.00","      22389","     180152","         37.64"
"ACC","EQ","22-Jun-2021","       2028.10","       2032.95","       2078.00","       2028.65","       2049.70","       2049.35","       2052.88","     712732","          1463156683.15","      29184","     256468","         35.98"
"ACC","EQ","23-Jun-2021","       2049.35","       2049.70","       2059.90","       2025.00","       2025.10","       2030.55","       2038.17","     268921","           548106325.70","      16107","      37860","         14.08"
"ACC","EQ","24-Jun-2021","       2030.55","       2025.00","       2040.70","       2019.10","       2025.00","       2027.45","       2028.15","     253261","           513651517.60","      12153","      94797","         37.43"
